text,category
Blue Dart courier charges for warehouse delivery,Logistics
FedEx shipment payment for product dispatch,Logistics
DTDC parcel delivery invoice,Logistics
Transport vendor bill for goods movement,Logistics
Freight charges for raw material transportation,Logistics
Truck rental for warehouse transfer,Logistics
Shipping invoice for customer orders,Logistics
Courier expenses for business parcels,Logistics
Delivery charges for online orders,Logistics
Logistics company monthly billing statement,Logistics
Warehouse transportation fee payment,Logistics
Intercity cargo movement expense,Logistics
Import shipment handling charges,Logistics
Export logistics service invoice,Logistics
Container transport fee for inventory,Logistics
Last mile delivery partner charges,Logistics
Packaging and shipping expenses,Logistics
Supply chain transportation invoice,Logistics
Commercial freight forwarding payment,Logistics
Delivery truck diesel reimbursement,Logistics

Printer paper and office file purchase,Office Supplies
Office stationery reimbursement bill,Office Supplies
Staplers pens and notebooks expense,Office Supplies
Purchase of office desk accessories,Office Supplies
Whiteboard markers and sticky notes order,Office Supplies
Office chair maintenance invoice,Office Supplies
Printer toner and cartridge payment,Office Supplies
Office supply vendor monthly invoice,Office Supplies
Paper bundles and envelope purchase,Office Supplies
Purchase of folders and writing pads,Office Supplies
Office cabinet and storage supplies invoice,Office Supplies
Desk organizer and stationery bill,Office Supplies
Corporate office supply purchase order,Office Supplies
Purchase of office cleaning materials,Office Supplies
Conference room stationery expense,Office Supplies
Pens highlighters and office tools purchase,Office Supplies
Office desk lamp procurement invoice,Office Supplies
Office attendance register purchase,Office Supplies
Employee workstation accessories expense,Office Supplies
Bulk stationery supply payment,Office Supplies

AWS monthly cloud hosting bill,Cloud/Software
Google Cloud platform subscription invoice,Cloud/Software
Microsoft Azure hosting payment,Cloud/Software
Zoom premium software subscription,Cloud/Software
Slack enterprise plan charges,Cloud/Software
Adobe Creative Cloud billing statement,Cloud/Software
GitHub business account subscription,Cloud/Software
Dropbox cloud storage payment,Cloud/Software
Software license renewal invoice,Cloud/Software
Domain hosting and server charges,Cloud/Software
Cloud computing infrastructure expense,Cloud/Software
Annual antivirus software subscription,Cloud/Software
CRM software monthly billing,Cloud/Software
Database hosting service invoice,Cloud/Software
Email hosting platform charges,Cloud/Software
SaaS platform usage payment,Cloud/Software
Video conferencing software invoice,Cloud/Software
Online productivity tool subscription,Cloud/Software
Web application hosting expense,Cloud/Software
Cloud backup service billing statement,Cloud/Software

Electricity bill for office premises,Utilities
Broadband internet monthly invoice,Utilities
Office water supply payment,Utilities
Gas utility service charges,Utilities
Telephone bill for company office,Utilities
Electricity charges for warehouse unit,Utilities
WiFi router service payment,Utilities
Office power backup maintenance fee,Utilities
Internet provider billing statement,Utilities
Office utility reimbursement invoice,Utilities
Commercial electricity consumption bill,Utilities
Corporate water utility payment,Utilities
Monthly office internet charges,Utilities
Building maintenance utility invoice,Utilities
Power generator fuel expense,Utilities
Office air conditioning electricity bill,Utilities
Utility repair and maintenance charges,Utilities
Fiber internet subscription payment,Utilities
Electric utility tax invoice,Utilities
Corporate communication service bill,Utilities

Flight booking for business conference,Travel
Hotel stay reimbursement during client visit,Travel
Cab fare for airport transfer,Travel
Train travel expense for employee,Travel
Corporate travel agency invoice,Travel
Business trip accommodation charges,Travel
Taxi reimbursement for official meeting,Travel
Airfare expense for sales conference,Travel
Travel booking service payment,Travel
Employee lodging expense invoice,Travel
International travel ticket booking,Travel
Conference hotel reservation payment,Travel
Travel allowance reimbursement,Travel
Ride sharing expense during office trip,Travel
Outstation business travel bill,Travel
Corporate tour package invoice,Travel
Flight and hotel combo booking,Travel
Travel expense claim for manager,Travel
Visa and travel processing charges,Travel
Official client meeting travel payment,Travel

Bulk inventory procurement invoice,Inventory
Warehouse stock replenishment payment,Inventory
Purchase of electronic inventory items,Inventory
Inventory acquisition from supplier,Inventory
Wholesale goods stock invoice,Inventory
Raw material inventory purchase,Inventory
Retail inventory restocking expense,Inventory
Product stock shipment received invoice,Inventory
Warehouse goods procurement payment,Inventory
Inventory purchase order settlement,Inventory
Manufacturing raw stock invoice,Inventory
Bulk product supply chain purchase,Inventory
Commercial stock inventory bill,Inventory
Inventory storage goods acquisition,Inventory
Supply inventory vendor payment,Inventory
Industrial stock material invoice,Inventory
Inventory warehouse loading purchase,Inventory
Stock item procurement expense,Inventory
Large scale inventory purchase order,Inventory
Finished goods inventory payment,Inventory
